"scenario","run","method","ARI","NMI","seconds"
"imbalanced",2,"longTAPIO-first",0.465793353885961,0.538821458847813,2.2609999999986
"imbalanced",2,"longTAPIO-screened",0.984499974259095,0.962476329994965,2.1869999999908
"imbalanced",2,"clusterMLD",1,1,1.85599999999977
"imbalanced",2,"kml3d",1,1,0.311999999990803
"imbalanced",3,"longTAPIO-random_weighted",0.977962159091031,0.956352331702975,2.30900000000838
"imbalanced",3,"longTAPIO-random_weighted_95",0.977962159091031,0.956352331702975,2.42399999999907
"imbalanced",3,"longTAPIO-first",0.464074750235205,0.553830105344147,2.22400000000198
"imbalanced",3,"longTAPIO-screened",0.977962159091031,0.956352331702975,2.30900000000838
"imbalanced",3,"clusterMLD",0.98572508011776,0.974949125470506,1.75900000000547
"imbalanced",3,"kml3d",0.983072383069922,0.974873611463609,0.298999999999069
"imbalanced",4,"longTAPIO-random_weighted",1,1,2.36599999999453
"imbalanced",4,"longTAPIO-random_weighted_95",0.616186870490749,0.724641944890575,2.20900000000256
"imbalanced",4,"longTAPIO-first",0.544390310685785,0.63222747759052,2.22699999999895
"imbalanced",4,"longTAPIO-screened",1,1,2.36599999999453
"imbalanced",4,"clusterMLD",1,1,1.74199999999837
"imbalanced",4,"kml3d",1,1,0.305000000007567
"imbalanced",5,"longTAPIO-random_weighted",0.995855160808118,0.981238164997482,2.18700000000536
"imbalanced",5,"longTAPIO-random_weighted_95",1,1,2.25
"imbalanced",5,"longTAPIO-first",0.498832670436559,0.553980315961049,2.28099999998813
"imbalanced",5,"longTAPIO-screened",0.995855160808118,0.981238164997482,2.18700000000536
"imbalanced",5,"clusterMLD",0.995855160808118,0.981238164997482,1.86000000000058
"imbalanced",5,"kml3d",1,1,0.307000000000698
"imbalanced",6,"longTAPIO-random_weighted",0.9714036710065,0.937223620830352,2.29899999999907
"imbalanced",6,"longTAPIO-random_weighted_95",0.984499974259095,0.962476329994965,2.42799999999988
"imbalanced",6,"longTAPIO-first",0.450645947404206,0.562841216178155,2.22299999999814
"imbalanced",6,"longTAPIO-screened",0.9714036710065,0.937223620830352,2.29899999999907
"imbalanced",6,"clusterMLD",1,1,1.75400000000081
"imbalanced",6,"kml3d",0.995853101144044,0.981452863899406,0.304000000003725
"imbalanced",7,"longTAPIO-random_weighted",0.578072230379776,0.683221291757103,2.35700000000361
"imbalanced",7,"longTAPIO-random_weighted_95",0.524698838439707,0.700369002422661,2.21299999998882
"imbalanced",7,"longTAPIO-first",0.581286954668939,0.669671297691633,2.22500000000582
"imbalanced",7,"longTAPIO-screened",0.578072230379776,0.683221291757103,2.35700000000361
"imbalanced",7,"clusterMLD",1,1,1.74400000000605
"imbalanced",7,"kml3d",0.977722631740764,0.953517882883965,0.309999999997672
"imbalanced",8,"longTAPIO-random_weighted",0.992128591637417,0.978365469732574,2.1929999999993
"imbalanced",8,"longTAPIO-random_weighted_95",0.98447918266502,0.959717214562316,2.24800000000687
"imbalanced",8,"longTAPIO-first",0.552342489480007,0.637394806857631,2.26599999998871
"imbalanced",8,"longTAPIO-screened",0.992128591637417,0.978365469732574,2.1929999999993
"imbalanced",8,"clusterMLD",1,1,1.87099999999919
"imbalanced",8,"kml3d",0.992128591637417,0.978365469732574,0.311000000001513
"imbalanced",9,"longTAPIO-random_weighted",0.957589080399595,0.919949476783365,2.31100000000151
"imbalanced",9,"longTAPIO-random_weighted_95",0.995855160808118,0.981238164997482,2.42200000000594
"imbalanced",9,"longTAPIO-first",0.452926251340364,0.526676422909268,2.22899999999208
"imbalanced",9,"longTAPIO-screened",0.957589080399595,0.919949476783365,2.31100000000151
"imbalanced",9,"clusterMLD",1,1,1.74899999999616
"imbalanced",9,"kml3d",1,1,0.301999999996042
"imbalanced",10,"longTAPIO-random_weighted",0.986849296379266,0.974747290835386,2.36999999999534
"imbalanced",10,"longTAPIO-random_weighted_95",0.963882546211097,0.932545947883112,2.20100000000093
"imbalanced",10,"longTAPIO-first",0.670438772399764,0.617593037976248,2.22599999999511
"imbalanced",10,"longTAPIO-screened",0.986849296379266,0.974747290835386,2.36999999999534
"imbalanced",10,"clusterMLD",0.986849296379266,0.974747290835386,1.74599999999919
"imbalanced",10,"kml3d",1,1,0.31600000000617
