"eta","sigma","run","Original_Train_ARI","Original_Train_NMI","Inductive_Train_ARI","Inductive_Train_NMI","Between_Methods_ARI","Between_Methods_NMI","Delta_Train_ARI","Delta_Train_NMI","Inductive_Test_ARI","Inductive_Test_NMI","Inductive_Test_Margin","Test_Minus_Train_ARI","Test_Minus_Train_NMI","Time_Original","Time_Inductive_Fit","Time_Inductive_Predict"
10,3,16,0.924375223204476,0.906402422472784,0.924375223204476,0.906402422472784,1,1,0,0,0.869741884274583,0.881105447305445,0.180731982181762,-0.054633338929893,-0.0252969751673384,0.537000000000035,1.548,3.22000000000003
10,3,17,0.76934666029558,0.809565427614933,0.76934666029558,0.809565427614933,1,1,0,0,0.912878388355659,0.925970755273933,0.190243662742875,0.143531728060079,0.116405327659001,0.548000000000002,1.55000000000007,3.149
10,3,18,0.718951515521697,0.787236288136475,0.718951515521697,0.787236288136475,1,1,0,0,0.847824840946868,0.842259843549783,0.19207749083977,0.12887332542517,0.0550235554133087,0.544999999999959,1.54300000000001,3.13300000000004
10,3,19,0.804645080160333,0.838093482258343,0.804645080160333,0.838093482258343,1,1,0,0,0.814367479149223,0.831389210416101,0.180747848127757,0.00972239898889038,-0.00670427184224198,0.537000000000035,1.63499999999999,3.13600000000008
10,3,20,0.943489529255354,0.935999600489444,0.943489529255354,0.935999600489444,1,1,0,0,0.869961156891929,0.863569587906687,0.187295881351718,-0.0735283723634255,-0.0724300125827568,0.547000000000025,1.54000000000008,3.13799999999992
10,5,1,0.671740838141633,0.700655167143285,0.671740838141633,0.700655167143285,1,1,0,0,0.781909659533324,0.809699875156909,0.141148702426046,0.11016882139169,0.109044708013625,0.543999999999983,1.55400000000009,3.13900000000001
10,5,2,0.522947214739311,0.586625383202941,0.522947214739311,0.586625383202941,1,1,0,0,0.677926037316085,0.703763455646075,0.136417993224511,0.154978822576774,0.117138072443135,0.534999999999968,1.54700000000003,3.125
10,5,3,0.633454674464352,0.652378458704557,0.633454674464352,0.652378458704557,1,1,0,0,0.591273360868675,0.610801887543234,0.124623381309949,-0.0421813135956769,-0.0415765711613236,0.548000000000002,1.54700000000003,3.14400000000001
10,5,4,0.750656013840005,0.732993900806421,0.750656013840005,0.732993900806421,1,1,0,0,0.746640935829845,0.73108975522846,0.141285591547661,-0.00401507801015988,-0.00190414557796148,0.552000000000021,1.54599999999994,3.125
10,5,5,0.526971144997189,0.567139770510082,0.526971144997189,0.567139770510082,1,1,0,0,0.739905578651138,0.758556259586042,0.107589262080262,0.212934433653949,0.19141648907596,0.536000000000058,1.54700000000003,3.13900000000001
10,5,6,0.710090493937012,0.734670080251757,0.710090493937012,0.734670080251757,1,1,0,0,0.711826211901156,0.737101657079924,0.14162077540913,0.00173571796414429,0.00243157682816719,0.548000000000002,1.54699999999991,3.13999999999999
10,5,7,0.683275889590784,0.679715620404043,0.683275889590784,0.679715620404043,1,1,0,0,0.672301495300603,0.720848690191333,0.140521105670736,-0.0109743942901811,0.04113306978729,0.546000000000049,1.548,3.14099999999996
10,5,8,0.72281393628828,0.720867525255077,0.72281393628828,0.720867525255077,1,1,0,0,0.691004587594861,0.7404579794717,0.139333708200682,-0.0318093486934184,0.0195904542166224,0.534999999999968,1.54399999999998,3.14100000000008
10,5,9,0.458234535339703,0.485284359029691,0.458234535339703,0.485284359029691,1,1,0,0,0.719128455965055,0.747610142160747,0.131104161706349,0.260893920625352,0.262325783131056,0.548000000000002,1.548,3.23299999999995
10,5,10,0.58570390378675,0.606972048104509,0.58570390378675,0.606972048104509,1,1,0,0,0.640046929996089,0.674733295883808,0.134945951795952,0.0543430262093387,0.067761247779299,0.544999999999959,1.54599999999994,3.13900000000001
10,5,11,0.628260388319568,0.640094675353513,0.628260388319568,0.640094675353513,1,1,0,0,0.795371516948325,0.811712283052712,0.128922198270613,0.167111128628757,0.171617607699199,0.534999999999968,1.54300000000001,3.13100000000009
