"Experiment","Structure","Condition","Run","N","P","Signal","Noise","SignalFraction","Method","Mtry","ARI","NMI","Time"
"DIMENSIONALITY","BALANCED","N80_P100_S40",5,80,100,40,60,0.4,"longTAPIO",10,0.689714704993742,0.768276001982953,0.833000000000538
"DIMENSIONALITY","BALANCED","N80_P100_S40",5,80,100,40,60,0.4,"kml3d",NA,0.736156280455088,0.773527650291946,3.64300000000003
"DIMENSIONALITY","BALANCED","N80_P100_S40",6,80,100,40,60,0.4,"longTAPIO",10,0.741987458630901,0.799749103602181,0.734999999999673
"DIMENSIONALITY","BALANCED","N80_P100_S40",6,80,100,40,60,0.4,"kml3d",NA,0.627102569413406,0.706443175319535,3.65499999999975
"DIMENSIONALITY","BALANCED","N80_P100_S40",7,80,100,40,60,0.4,"longTAPIO",10,0.802125237191651,0.84264751868791,0.735999999999876
"DIMENSIONALITY","BALANCED","N80_P100_S40",7,80,100,40,60,0.4,"kml3d",NA,0.644494921356019,0.718148982416963,3.75200000000041
"DIMENSIONALITY","BALANCED","N80_P100_S40",8,80,100,40,60,0.4,"longTAPIO",10,0.568593161604566,0.670462719661285,0.731999999999971
"DIMENSIONALITY","BALANCED","N80_P100_S40",8,80,100,40,60,0.4,"kml3d",NA,0.537674358671492,0.635639083881873,3.75300000000061
"DIMENSIONALITY","BALANCED","N80_P100_S40",9,80,100,40,60,0.4,"longTAPIO",10,0.538398018166804,0.643630970277561,0.735000000000582
"DIMENSIONALITY","BALANCED","N80_P100_S40",9,80,100,40,60,0.4,"kml3d",NA,0.538398018166804,0.643630970277561,3.76699999999983
"DIMENSIONALITY","BALANCED","N80_P100_S40",10,80,100,40,60,0.4,"longTAPIO",10,0.747399386084584,0.810426298419702,0.734999999999673
"DIMENSIONALITY","BALANCED","N80_P100_S40",10,80,100,40,60,0.4,"kml3d",NA,0.58252135790162,0.671793187529407,3.76000000000022
"DIMENSIONALITY","BALANCED","N80_P100_S40",11,80,100,40,60,0.4,"longTAPIO",10,0.69609057331682,0.772629100434929,0.735000000000582
"DIMENSIONALITY","BALANCED","N80_P100_S40",11,80,100,40,60,0.4,"kml3d",NA,0.643754651722779,0.719246439490619,3.76199999999972
"DIMENSIONALITY","BALANCED","N80_P100_S40",12,80,100,40,60,0.4,"longTAPIO",10,0.741987458630901,0.799749103602181,0.734000000000378
"DIMENSIONALITY","BALANCED","N80_P100_S40",12,80,100,40,60,0.4,"kml3d",NA,0.661550369005701,0.726363525862451,3.76600000000053
"DIMENSIONALITY","BALANCED","N80_P100_S40",13,80,100,40,60,0.4,"longTAPIO",10,0.904236149788684,0.919697027566246,0.734000000000378
"DIMENSIONALITY","BALANCED","N80_P100_S40",13,80,100,40,60,0.4,"kml3d",NA,0.743420123613691,0.799028336290723,3.74900000000071
"DIMENSIONALITY","BALANCED","N80_P100_S40",14,80,100,40,60,0.4,"longTAPIO",10,1,1,0.739000000000487
"DIMENSIONALITY","BALANCED","N80_P100_S40",14,80,100,40,60,0.4,"kml3d",NA,0.797525710763374,0.840228213781778,3.64999999999964
"DIMENSIONALITY","BALANCED","N80_P100_S40",15,80,100,40,60,0.4,"longTAPIO",10,0.659027148344771,0.75,0.734000000000378
"DIMENSIONALITY","BALANCED","N80_P100_S40",15,80,100,40,60,0.4,"kml3d",NA,0.659423445392789,0.751882334943255,3.64500000000044
"DIMENSIONALITY","BALANCED","N80_P100_S40",16,80,100,40,60,0.4,"longTAPIO",10,0.850094876660342,0.88719873517385,0.829999999999927
"DIMENSIONALITY","BALANCED","N80_P100_S40",16,80,100,40,60,0.4,"kml3d",NA,0.579960466369988,0.681569934801138,3.62599999999929
"DIMENSIONALITY","BALANCED","N80_P100_S40",17,80,100,40,60,0.4,"longTAPIO",10,0.826103845655833,0.873355651440036,0.835000000000036
"DIMENSIONALITY","BALANCED","N80_P100_S40",17,80,100,40,60,0.4,"kml3d",NA,0.770736778273487,0.818999207120076,3.65399999999954
"DIMENSIONALITY","BALANCED","N80_P100_S40",18,80,100,40,60,0.4,"longTAPIO",10,0.638568777245457,0.720797524878605,0.827000000000226
"DIMENSIONALITY","BALANCED","N80_P100_S40",18,80,100,40,60,0.4,"kml3d",NA,0.731406350137409,0.779496537948943,3.63799999999992
"DIMENSIONALITY","BALANCED","N80_P100_S40",19,80,100,40,60,0.4,"longTAPIO",10,0.784599717486285,0.805144212954206,0.833999999999833
"DIMENSIONALITY","BALANCED","N80_P100_S40",19,80,100,40,60,0.4,"kml3d",NA,0.722813077267809,0.750018904498625,3.66100000000006
"DIMENSIONALITY","BALANCED","N80_P100_S40",20,80,100,40,60,0.4,"longTAPIO",10,0.659423445392789,0.751882334943255,0.734000000000378
"DIMENSIONALITY","BALANCED","N80_P100_S40",20,80,100,40,60,0.4,"kml3d",NA,0.611110537776448,0.702276851174251,3.64300000000003
"DIMENSIONALITY","BALANCED","N120_P10_S4",1,120,10,4,6,0.4,"longTAPIO",4,0.771456681157097,0.820837316516957,0.981999999999971
"DIMENSIONALITY","BALANCED","N120_P10_S4",1,120,10,4,6,0.4,"kml3d",NA,0.677737197173889,0.725920080965592,0.313999999999396
"DIMENSIONALITY","BALANCED","N120_P10_S4",2,120,10,4,6,0.4,"longTAPIO",4,0.666342991005862,0.75179786142686,1.07799999999952
"DIMENSIONALITY","BALANCED","N120_P10_S4",2,120,10,4,6,0.4,"kml3d",NA,0.67463751951818,0.701686240151446,0.313999999999396
"DIMENSIONALITY","BALANCED","N120_P10_S4",3,120,10,4,6,0.4,"longTAPIO",4,0.753953955221754,0.802957048626571,0.969999999999345
"DIMENSIONALITY","BALANCED","N120_P10_S4",3,120,10,4,6,0.4,"kml3d",NA,0.366474551250844,0.403065057887713,0.315999999999804
