"Experiment","Structure","Condition","N","P","Signal","Noise","SignalFraction","Method","ARI_Mean","NMI_Mean","Time_Mean","ARI_SD","NMI_SD","Time_SD"
"NUISANCE","BALANCED","N120_P64_S8",120,64,8,56,0.125,"longTAPIO",0.635103503606255,0.692374540319303,1.77449999999994,0.104993159285268,0.08584506544458,0.0808133001038272
"NUISANCE","BALANCED","N120_P8_S8",120,8,8,0,1,"kml3d",0.694018215814545,0.745379548380779,0.470000000000027,0.0664147837803219,0.0512334374964084,0.0131829235636101
"NUISANCE","BALANCED","N120_P8_S8",120,8,8,0,1,"longTAPIO",0.775371772339991,0.828603726236078,1.44075000000003,0.105959493098064,0.0814638866324539,0.0722807938382762
"NUISANCE","IMBALANCED","N120_P100_S8",120,100,8,92,0.08,"kml3d",0.0713672392913541,0.114585497160701,8.21384999999991,0.0386962538642242,0.0364618746300913,0.635301194627265
"NUISANCE","IMBALANCED","N120_P100_S8",120,100,8,92,0.08,"longTAPIO",0.162003876302339,0.22669276636864,1.84355,0.11120188040869,0.119557044590871,0.168542818236173
"NUISANCE","IMBALANCED","N120_P16_S8",120,16,8,8,0.5,"kml3d",0.302222419399539,0.406495988762609,0.719599999999946,0.128607751847695,0.119145863909061,0.0738714388225542
"NUISANCE","IMBALANCED","N120_P16_S8",120,16,8,8,0.5,"longTAPIO",0.402946360945066,0.537651910547897,1.59190000000012,0.12123972477851,0.0981234704971514,0.182979406376584
"NUISANCE","IMBALANCED","N120_P32_S8",120,32,8,24,0.25,"kml3d",0.233370720487998,0.302095113244823,1.60374999999999,0.124508719744006,0.114363832186548,0.046073025559425
"NUISANCE","IMBALANCED","N120_P32_S8",120,32,8,24,0.25,"longTAPIO",0.384427128352807,0.525865754855174,1.63339999999989,0.0979328700230552,0.0899938929323544,0.106880356129298
"NUISANCE","IMBALANCED","N120_P64_S8",120,64,8,56,0.125,"kml3d",0.114513714477745,0.152779044463728,5.60199999999991,0.0700941945724891,0.0648933284809733,0.200721592995639
"NUISANCE","IMBALANCED","N120_P64_S8",120,64,8,56,0.125,"longTAPIO",0.266517511703377,0.368530578528196,1.7436999999999,0.0884762457612501,0.0935806831648176,0.113096651725789
"NUISANCE","IMBALANCED","N120_P8_S8",120,8,8,0,1,"kml3d",0.385345066090991,0.488239329081937,0.467699999999877,0.135098547754004,0.1252823507801,0.0117835746521029
"NUISANCE","IMBALANCED","N120_P8_S8",120,8,8,0,1,"longTAPIO",0.411014004584464,0.546672014868489,1.40889999999999,0.159626248292298,0.130951546083513,0.0491687748581319
