"visit","cluster","feature","mean_incremental","sd_incremental"
10,"Cluster 3","y1",-0.00254928536732879,0.0057784920233388
10,"Cluster 3","y2",0.00294239698124888,0.0058701297570878
10,"Cluster 3","y3",-0.000680532761542492,0.00951608232281361
10,"Cluster 3","y4",0.000408117234619546,0.00921788044677019
10,"Cluster 3","y5",-0.00175246143801567,0.00976907879153403
10,"Cluster 4","y1",-0.000723409483126932,0.00735237731554158
10,"Cluster 4","y2",0.000678713782202071,0.00963368456276005
10,"Cluster 4","y3",-0.00343539437416435,0.0105978290240045
10,"Cluster 4","y4",0.00112617974696763,0.0143301371191047
10,"Cluster 4","y5",-0.000211566423617889,0.0098818040584836
