"run","visit","cluster","feature","importance"
2,6,3,"y5",0.778577899266475
2,6,4,"y1",0.979615050977762
2,6,4,"y2",0.947361367986302
2,6,4,"y3",0.899665261900062
2,6,4,"y4",0.887554859010605
2,6,4,"y5",0.681020778801283
2,7,1,"y1",0.975284191166336
2,7,1,"y2",0.92486013583367
2,7,1,"y3",0.751660915794012
2,7,1,"y4",0.794228237063055
2,7,1,"y5",0.712975025368928
2,7,2,"y1",0.976813372980085
2,7,2,"y2",0.854814651307422
2,7,2,"y3",0.912552931911066
2,7,2,"y4",0.757476684127864
2,7,2,"y5",0.72445779544945
2,7,3,"y1",0.981970229320589
2,7,3,"y2",0.931292564896027
2,7,3,"y3",0.886846526852739
2,7,3,"y4",0.767210306209945
2,7,3,"y5",0.78201841861351
2,7,4,"y1",0.972993637012998
2,7,4,"y2",0.959412262051875
2,7,4,"y3",0.893989366091661
2,7,4,"y4",0.906383273811603
2,7,4,"y5",0.700978544742765
2,8,1,"y1",0.977995230457335
2,8,1,"y2",0.918906246650578
2,8,1,"y3",0.77117327683251
2,8,1,"y4",0.799667189859961
2,8,1,"y5",0.70464485208372
2,8,2,"y1",0.974651568864159
2,8,2,"y2",0.854657540175086
2,8,2,"y3",0.903504102589956
2,8,2,"y4",0.733737261419834
2,8,2,"y5",0.722945259010263
2,8,3,"y1",0.98149795336805
2,8,3,"y2",0.93121384132925
2,8,3,"y3",0.889274240690161
2,8,3,"y4",0.754101525774609
2,8,3,"y5",0.791477586033869
2,8,4,"y1",0.972791325781424
2,8,4,"y2",0.964252166977642
2,8,4,"y3",0.89556482595401
2,8,4,"y4",0.906252186839515
2,8,4,"y5",0.710679473029067
2,9,1,"y1",0.991363252660731
2,9,1,"y2",0.910820978439156
2,9,1,"y3",0.765093175551944
2,9,1,"y4",0.800378134289884
2,9,1,"y5",0.715921599502088
2,9,2,"y1",1
2,9,2,"y2",0.835694821991989
2,9,2,"y3",0.909669790963926
2,9,2,"y4",0.72863376637577
2,9,2,"y5",0.706942506424605
2,9,3,"y1",0.975683454593571
2,9,3,"y2",0.944115077994021
2,9,3,"y3",0.891186950873645
2,9,3,"y4",0.760061382722416
2,9,3,"y5",0.794442812536233
2,9,4,"y1",0.995532539831887
2,9,4,"y2",0.966532500413644
2,9,4,"y3",0.881989649727256
2,9,4,"y4",0.85717532771325
2,9,4,"y5",0.694412582636595
2,10,1,"y1",0.98488892226119
2,10,1,"y2",0.922606655813052
2,10,1,"y3",0.779291814760477
2,10,1,"y4",0.802352475670867
2,10,1,"y5",0.722711772417533
2,10,2,"y1",1
2,10,2,"y2",0.809037605791727
2,10,2,"y3",0.893199310877516
2,10,2,"y4",0.721634424757777
2,10,2,"y5",0.711997037929178
2,10,3,"y1",0.977038357861206
2,10,3,"y2",0.959720339062155
2,10,3,"y3",0.902820330864219
2,10,3,"y4",0.776244182039785
2,10,3,"y5",0.805689551805358
2,10,4,"y1",0.989841389359198
2,10,4,"y2",0.967970919253703
2,10,4,"y3",0.889351974852699
2,10,4,"y4",0.861507794232164
2,10,4,"y5",0.692132027821074
3,1,1,"y1",0.94551231529689
3,1,1,"y2",0.86830698214279
3,1,1,"y3",0.825677337618317
3,1,1,"y4",0.765375414750364
3,1,1,"y5",0.642675729547098
3,1,2,"y1",0.951115162274312
3,1,2,"y2",0.847499658830544
3,1,2,"y3",0.823421346772764
3,1,2,"y4",0.82970516128693
3,1,2,"y5",0.798794441886359
3,1,3,"y1",0.993727394169193
3,1,3,"y2",0.7912035582825
3,1,3,"y3",0.826687049909429
3,1,3,"y4",0.735887933392879
